species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Phylloscopus collybita,s1,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s2,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s3,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s4,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s5,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s6,0-25 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s1,25-100 m,1,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s2,25-100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s3,25-100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s4,25-100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s5,25-100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s6,25-100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s1,>100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
Phylloscopus collybita,s2,>100 m,0,03. Fluvia,2024_cens_01_abril_fluvia.xlsx,07/04/2024,Fluvià,08:15,10:06,AO,abril,2024-04-07T00:00:00Z
