species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Luscinia megarynchos,s1,0-25 m,5,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s2,0-25 m,5,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s3,0-25 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s4,0-25 m,6,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s5,0-25 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s6,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s1,25-100 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s2,25-100 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s3,25-100 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s4,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s5,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s6,25-100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s1,>100 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s2,>100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s3,>100 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s4,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s5,>100 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Luscinia megarynchos,s6,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s1,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
