species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Myopsitta monachus,s1,0-25 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s1,25-100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s2,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s3,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s4,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s5,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s1,>100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s2,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s3,>100 m,8,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s4,>100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Myopsitta monachus,s6,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s1,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
